replay_tag,side,time,isAbility,card_name,x,y
08RPQUJG29GC,blue,133,0,_invalid,None,None
08RPQUJG29GC,red,202,0,_invalid,None,None
08RPQUJG29GC,red,249,0,_invalid,None,None
08RPQUJG29GC,blue,391,0,_invalid,None,None
08RPQUJG29GC,blue,461,0,_invalid,None,None
08RPQUJG29GC,red,539,0,_invalid,None,None
08RPQUJG29GC,red,674,0,_invalid,None,None
08RPQUJG29GC,blue,761,0,_invalid,None,None
08RPQUJG29GC,blue,843,0,_invalid,None,None
08RPQUJG29GC,red,921,0,_invalid,None,None
08RPQUJG29GC,red,996,0,_invalid,None,None
08RPQUJG29GC,blue,1069,0,_invalid,None,None
08RPQUJG29GC,blue,1148,0,_invalid,None,None
08RPQUJG29GC,red,1441,0,_invalid,None,None
08RPQUJG29GC,blue,1552,0,_invalid,None,None
08RPQUJG29GC,red,1662,0,_invalid,None,None
08RPQUJG29GC,blue,1817,0,dark-prince,2499,14500
08RPQUJG29GC,blue,1888,0,fisherman,13500,14500
08RPQUJG29GC,red,1891,0,baby-dragon,3500,21500
08RPQUJG29GC,red,1913,0,elixir-golem,3499,22499
08RPQUJG29GC,red,1948,0,dart-goblin,6499,23499
08RPQUJG29GC,blue,2078,0,electro-wizard,3500,14500
08RPQUJG29GC,red,2182,0,rage,3500,9500
08RPQUJG29GC,blue,2211,0,goblin-machine,6499,10500
08RPQUJG29GC,red,2282,0,barbarian-barrel,17500,17500
08RPQUJG29GC,blue,2463,0,golden-knight,13500,14500
08RPQUJG29GC,red,2531,0,witch,16500,26499
08RPQUJG29GC,blue,2554,1,ability-golden-knight,,
08RPQUJG29GC,red,2662,0,baby-dragon,4500,14500
08RPQUJG29GC,blue,2744,0,dark-prince,2499,14500
08RPQUJG29GC,red,2829,0,elixir-golem,3499,21499
08RPQUJG29GC,blue,2911,0,bomb-tower,11500,13500
08RPQUJG29GC,blue,3031,0,skeleton-army,6499,13500
08RPQUJG29GC,red,3061,0,dart-goblin,6499,14499
08RPQUJG29GC,blue,3153,0,electro-wizard,5500,13500
08RPQUJG29GC,red,3366,0,sparky,9500,31499
08RPQUJG29GC,blue,3394,0,golden-knight,14500,14500
08RPQUJG29GC,blue,3492,1,ability-golden-knight,,
08RPQUJG29GC,blue,3591,0,dark-prince,3499,14500
08RPQUJG29GC,red,3645,0,witch,5499,24499
08RPQUJG29GC,blue,3691,0,wall-breakers,4499,12500
08RPQUJG29GC,red,3746,0,barbarian-barrel,3500,23500
08RPQUJG29GC,blue,3791,0,skeleton-army,9500,12500
08RPQUJG29GC,red,3862,0,rage,13500,14500
08RPQUJG29GC,blue,3962,0,electro-wizard,12500,12500
08RPQUJG29GC,red,4048,0,dart-goblin,9500,18499
08RPQUJG29GC,blue,4158,0,golden-knight,5499,10500
