player_tag,clan_tag,country,expLevel,trophies,arena_id,arena_name
#V2LUJ8VR9,#R2GVPGJL,Turkey,29,5059,54000012.0,Miner's Mine
#20VY8YVCJV,#R2RCGR99,Turkey,14,1300,54000005.0,Builder's Workshop
#200R2P2JQ8,#R2RCGR99,Turkey,14,1232,54000004.0,Spell Valley
#VQCC0JJQV,#GQ0VYJPJ,Turkey,42,7647,54000017.0,Boot Camp
#Y9YPQ0VGQ,#GQ0VYJPJ,Turkey,32,5616,54000013.0,Executioner's Kitchen
#QC0RR20QC,#R8Y0RVLQ,Turkey,50,9343,54000020.0,Valkalla
#CU0QVG2UC,#R8Y0RVLQ,Turkey,36,7188,54000016.0,Dragon Spa
#QLP2JJPLQ,#R8Y0RVLQ,Turkey,35,6962,54000015.0,Silent Sanctuary
#YQ0P8L88Y,#R8Y0RVLQ,Turkey,23,3002,54000007.0,Hog Mountain
#VQ9PURCUG,#R8Y0RVLQ,Turkey,11,1857,54000006.0,P.E.K.K.A's Playhouse
#V2C29QJ2R,#GY9QVRGY,Turkey,25,3985,54000011.0,Spooky Town
#UVCCY8RRG,#GY9QVRGY,Turkey,20,2030,54000008.0,Royal Arena
#VJVJ0GJVJ,#RCCJ0J0P,Turkey,40,7593,54000017.0,Boot Camp
#VPQVLCCPY,#RCCJ0J0P,Turkey,23,2887,54000010.0,Jungle Arena
#2U0Y02V8P,#GYVLQ8RJ,Turkey,36,7120,54000016.0,Dragon Spa
#VCC98QG20,#GYVLQ8RJ,Turkey,27,3435,54000024.0,Electro Valley
#VYJJ2CU99,#GYVLQ8RJ,Turkey,23,2713,54000010.0,Jungle Arena
#2008C0UVQQ,#RUVGVPLV,Turkey,15,1754,54000006.0,P.E.K.K.A's Playhouse
#VYJVYP0GP,#RUVGVPLV,Turkey,12,1600,54000006.0,P.E.K.K.A's Playhouse
#RRY09GRGG,#RUQVLQ2P,Turkey,24,3462,54000024.0,Electro Valley
#C8QGYGRGU,#GL8L800P,Turkey,25,3837,54000011.0,Spooky Town
#20JYYP280C,#GL8L800P,Turkey,15,1596,54000005.0,Builder's Workshop
#200J0UC29V,#GV8GQ82R,Turkey,30,5127,54000012.0,Miner's Mine
#V2R8C2LRP,#GV8GQ82R,Turkey,30,4810,54000056.0,Serenity Peak
#2089GJR2RP,#GV8GQ82R,Turkey,26,4024,54000011.0,Spooky Town
#V8U2GYQUR,#GV8GQ82R,Turkey,26,2608,54000010.0,Jungle Arena
#UVVYQJJC9,#GV8GQ82R,Turkey,9,1061,54000004.0,Spell Valley
#PUPC0V8C9,#GVQ09QPL,Turkey,30,6238,54000014.0,Royal Crypt
#QPVUQ80LU,#GVQ09QPL,Turkey,31,5207,54000012.0,Miner's Mine
#CLGCYLUUQ,#GVQ09QPL,Turkey,12,1502,54000005.0,Builder's Workshop
#20JUV2C9RQ,#J0RU2LPQ,Turkey,11,1076,54000004.0,Spell Valley
#VLG0JR9UP,#J0RU2LPQ,Turkey,8,1000,54000004.0,Spell Valley
#20UUVUYPQQ,#J0RU2LPQ,Turkey,1,61,54000001.0,Goblin Stadium
#8C0LPGLU0,#GL8VQCJ2,Turkey,42,8700,54000019.0,PANCAKES!
#9UJPJLG08,#GL8VQCJ2,Turkey,43,7705,54000017.0,Boot Camp
#CJRYL9Y89,#GL8VQCJ2,Turkey,42,7230,54000016.0,Dragon Spa
#UCVR2LLG8,#GL8VQCJ2,Turkey,38,7105,54000016.0,Dragon Spa
#R0ULVJL9C,#GL8VQCJ2,Turkey,35,6228,54000014.0,Royal Crypt
#VCJLJ0RLQ,#GL8VQCJ2,Turkey,30,5341,54000012.0,Miner's Mine
#209UC08Q9U,#GL8VQCJ2,Turkey,28,5084,54000012.0,Miner's Mine
#JP22UCLUQ,#GL8VQCJ2,Turkey,27,4810,54000056.0,Serenity Peak
#J9UG8CYVR,#GL8VQCJ2,Turkey,25,4156,54000011.0,Spooky Town
#20UC89CPRJ,#GL8VQCJ2,Turkey,20,2754,54000010.0,Jungle Arena
#VVVJ2UJPV,#GL8VQCJ2,Turkey,17,2000,54000008.0,Royal Arena
#V88VV9VL9,#GVQQPQ2G,Turkey,38,7303,54000016.0,Dragon Spa
#UCYU2J9P8,#GVQQPQ2G,Turkey,37,6417,54000014.0,Royal Crypt
#UV088PPVV,#GVQQPQ2G,Turkey,30,5580,54000013.0,Executioner's Kitchen
#VU0VGJJQG,#GVQQPQ2G,Turkey,29,5001,54000012.0,Miner's Mine
#VPC0Q028Y,#GVQQPQ2G,Turkey,25,4047,54000011.0,Spooky Town
#VPJ2LC98L,#GVQQPQ2G,Turkey,26,3698,54000024.0,Electro Valley
#200G9QUYCY,#GVQQPQ2G,Turkey,25,3433,54000024.0,Electro Valley
#CUPPJ0JPL,#GVQQPQ2G,Turkey,26,2927,54000010.0,Jungle Arena
#CVVR9CRGQ,#GVQQPQ2G,Turkey,22,2563,54000009.0,Frozen Peak
#V8CRLRGC2,#GVQQPQ2G,Turkey,22,2421,54000009.0,Frozen Peak
#JGVLYVCRP,#GVQQPQ2G,Turkey,22,2367,54000009.0,Frozen Peak
#VPQUCGVQR,#GVQQPQ2G,Turkey,20,2180,54000008.0,Royal Arena
#VURRLLLVV,#GVQQPQ2G,Turkey,18,1907,54000006.0,P.E.K.K.A's Playhouse
#C8C9JCVY,#QR2L0JQR,Turkey,57,9779,54000031.0,Legendary Arena
#V8RGYR028,#QR2L0JQR,Turkey,22,2300,54000009.0,Frozen Peak
